zip code,city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
WA 98029,Issaquah,5,2.5,2820,2820,2.0,1979,3
WA 98106,Seattle,2,1.0,1210,1210,1.0,1949,1
WA 98001,Auburn,4,2.5,2200,2200,2.0,1987,1
WA 98042,Kent,3,1.5,1200,1200,1.0,1965,1
WA 98198,Des Moines,3,1.75,1370,1370,1.0,1987,1
WA 98055,Renton,4,2.0,1480,1480,1.0,1974,1
WA 98045,North Bend,3,1.5,1180,1180,1.0,1983,1
WA 98003,Federal Way,3,2.5,2090,1360,1.0,1987,1
WA 98038,Maple Valley,3,3.0,1850,1090,1.0,1992,1
WA 98106,Seattle,2,2.5,1630,1280,2.0,2009,1
WA 98042,Kent,3,2.5,2540,2540,2.0,2006,2
WA 98155,Shoreline,2,1.0,850,850,1.0,1950,2
WA 98077,Woodinville,3,1.0,1160,1160,1.0,1968,2
WA 98024,Fall City,3,2.25,1580,1580,1.0,1978,2
WA 98052,Redmond,2,2.0,1350,1350,1.0,1976,2
WA 98042,Kent,3,2.0,1930,1930,1.0,1966,2
WA 98106,Seattle,3,1.0,1090,1090,1.0,1955,2
WA 98092,Auburn,4,3.0,3110,3110,2.0,1997,2
WA 98034,Kirkland,4,1.75,1560,1560,1.0,1967,2
WA 98199,Seattle,3,3.25,1320,1040,2.0,2008,2
WA 98166,Normandy Park,3,2.0,1960,1650,1.0,1957,2
WA 98059,Renton,3,2.5,1930,1930,2.0,1996,2
WA 98007,Bellevue,3,1.5,1570,1570,1.0,1956,2
WA 98008,Bellevue,3,2.25,2000,1000,1.0,1963,2
WA 98006,Bellevue,4,1.5,1920,1070,1.0,1954,2
WA 98006,Bellevue,4,1.0,1450,1450,1.0,1954,2
WA 98103,Seattle,3,2.5,1770,1600,3.0,2007,2
WA 98027,Issaquah,3,2.25,1970,1970,2.0,1977,2
WA 98116,Seattle,3,2.5,1770,1770,2.0,1990,2
WA 98006,Bellevue,4,2.25,2160,1080,1.0,1966,2
WA 98107,Seattle,3,2.5,1270,1270,3.0,2001,2
WA 98045,North Bend,3,2.5,2680,2680,2.0,2013,2
WA 98155,Lake Forest Park,3,1.75,1710,1710,1.0,1948,2
WA 98011,Bothell,5,2.5,2210,1460,1.0,1976,2
WA 98038,Maple Valley,4,2.5,2710,2710,2.0,1989,2
WA 98092,Auburn,4,1.75,2190,2190,1.0,1968,2
WA 98125,Seattle,4,1.75,1600,1130,1.0,1959,2
WA 98072,Woodinville,4,2.5,2860,2190,2.0,2004,2
WA 98075,Sammamish,3,1.75,2910,2910,1.5,1979,3
WA 98052,Redmond,4,2.5,1940,1140,1.0,1976,3
WA 98065,Snoqualmie,4,2.5,3310,3310,2.0,2012,3
WA 98074,Sammamish,3,1.75,2330,1970,1.0,1980,3
WA 98023,Federal Way,3,2.5,3240,3240,2.0,1995,3
WA 98011,Bothell,4,2.5,2730,2730,2.0,1991,3
WA 98136,Seattle,3,1.75,2360,1360,1.0,1948,3
WA 98059,Renton,4,3.25,2730,1560,1.0,2007,3
WA 98155,Shoreline,4,2.5,2820,2820,2.0,2014,3
WA 98102,Seattle,3,2.25,1750,1470,2.5,2005,3
WA 98027,Issaquah,4,2.75,2710,2710,2.0,2000,3
WA 98115,Seattle,4,2.0,1520,1520,1.5,1945,3
WA 98115,Seattle,4,2.0,1820,1640,1.5,1945,3
WA 98033,Kirkland,4,2.25,2200,1300,1.5,1920,3
WA 98116,Seattle,3,2.5,2390,1440,1.0,1955,4
WA 98115,Seattle,3,1.75,2240,1550,2.0,1923,4
WA 98065,Snoqualmie,5,3.25,3660,3660,2.0,2006,4
WA 98117,Seattle,3,2.5,2600,1700,1.0,1951,4
WA 98115,Seattle,3,2.0,2710,1880,1.5,1929,4
WA 98052,Redmond,4,2.5,3310,3310,2.0,2001,4
